Name,Debit,Credit,Ratio
Neo,8790,8790,1
Poonam Ele,11300,11300,1
Gokul Electronics Sangli,18966,18966,1
Gurukrupa Electronics Murgud,22000,22000,1
Krishna Med,25500,25500,1
Novel,28470,28470,1
Khare Club,29800,29800,1
Mahalaxmi Arts,32290,32290,1
Mamata Ent ,32882,32882,1
HDFC Bank,33975,33975,1
Anand Ele Ichal,35190,35190,1
Amit Ele,48150,48150,1
C L Electronic,48900,48900,1
Popular Agencies ,57200,57200,1
Balaji Electronics Jaysingpur,67385,67385,1
Om Sai Ele Ajara,69700,69700,1
Yashada ,73100,73100,1
India Electronics Jaysingpur,73465,73465,1
Kulkarni Ele,79850,79850,1
Abhi Salse Corp,91170,91170,1
Niranjan Sales ,99450,99450,1
Battery Power Solutions,122883,122883,1
Darshan Electronics,142816,142816,1
Mangal Ele Refri Sangali,144050,144050,1
Prasad Ele Wai,153040,153040,1
Nakate Ent,173975,173975,1
Pratibha,175567,175567,1
Amruta Ele ,199575,199575,1
Jain Agencies & Ele Pusegaon,208100,208100,1
Gopal Agencies Ichalkarnaji,224038,224038,1
Rajlaxmi Ele ,240080,240080,1
Mahakali Ele,259510,259510,1
Tech Hub ,264650,264650,1
Ulhas Agencies ,273450,273450,1
Raj Ent,299045,299045,1
H P Bhutala Home Appliances,301470,301470,1
Samarth Digital Ratnagiri,519521,519521,1
Geeta Electronics Kolhapur,524160,524160,1
New Metro,809707,809707,1
Kailash Ele ,1057575,1057575,1
Aryan Electonics,147540,146540,0.993222177
Pranali Vita,360663,357028,0.989921339
Santosh Agencies Devgad,1554998,1537100,0.988490017
Saras Ele Panasonic,1618952,1591262,0.982896343
Samarth Refri & AirCoditionar,1271331,1242832,0.977583336
Gandhi Ele Faltan,1116066,1089930,0.97658203
Deasi Technocast,25200,24595,0.975992063
Diamond Electronics,852389,831850,0.975904194
Sneh Ele2,75216,72627,0.965579132
Padmavati Prjakta Ele,1081656,1041694,0.963054797
Mahalaxmi Ele ,444172,423672,0.953846708
Cool Vision ,1023769,975300,0.952656312
Balaji Electronics Vita,3350968,3192032,0.952570123
Shri Mahalaxmi,1528286,1454420,0.951667424
Shri Ganesh Ele Asurde,60000,56499,0.94165
Adhunic Ele Waduj,562328,529133,0.940968616
Shri Ele Sanagli,236160,220830,0.935086382
G Smart Electronics,221501,207055,0.934781333
Anita Steel Centre ,407550,379230,0.930511594
Akash Ele. Miraj ,859566,792406,0.921867547
Madhavi Ele Umbraj,124237,113900,0.916796124
Siddhi Home Appliances,1140493,1043462,0.91492188
Ravi Ele Sawarde,332836,301879,0.906990229
Kailash Umbraj,243113,219011,0.900860917
MG Sales Islampur,590513,530640,0.898608498
Maharashtra Ele Phalatan,356076,317440,0.891495074
Heda Enterprices Kolhapur,259083,230712,0.890494552
Anand Ele Medha,1047773,931480,0.889009356
Mayur Agencis Karad ,242115,215110,0.888462094
Fridge House ,109800,97500,0.887978142
Ocean Ele Tasgaon,577374,510489,0.884156543
Paris Ele Wai,2890481,2554607,0.883799963
Ijaj Electronics Ichalkaranji,514215,451590,0.878212421
Almas Cool Point,773032,676878,0.875614464
Pawar Ele ,215413,187213,0.869088681
New Venus,1420639,1226042,0.863021499
Masta Air Condition,255441,220222,0.862124718
Satyam Vita,702576,604300,0.860120471
Monarch Ent,1323249,1131465,0.855065827
Star Radio Vita,16150,13742,0.850897833
Silo Point Air Conditioner,253631,215748,0.850637343
Parshwa Empire Gadhinglaj,887398,749863,0.845013173
Varad Ele ,3194880,2697787,0.844409493
Blue Bell Marketing,92515,78015,0.843268659
Ved Ele ,325298,273692,0.84135777
Umesh Refri,488996,409881,0.838209311
Trimurti Ele Dodmarg,1176262,978990,0.832289065
Bhagyalaxmi Electonics Palus,326930,272050,0.832135319
Karde Coolwell,517110,428895,0.82940767
Navaratra Distribution,4561591,3783062,0.829329504
Satyam Ele Ajara,168000,138913,0.826863095
Cool Care Ref,1148215,944702,0.822757062
Avanti Ele Gargoti,710368,582715,0.820300182
Samarth Ele Dapoli,1012424,829518,0.819338538
Super Cool Refri,1321204,1073791,0.812736716
Sai Nesari,154724,125348,0.810139345
Shree Vision Ele,751416,608727,0.810106519
Sai Ele Pusgaon,155796,125700,0.806824309
AB Stores ,44780,35890,0.801473872
Balaji Electonics,143565,114065,0.794518163
Payal Ele,3289025,2592116,0.788110762
Navhind Ele Kali,131755,103755,0.787484346
Siddhant Ele ,756375,592889,0.783855892
Rajlaxmi Ele 1,318900,248904,0.780507996
Rahul Ele Fatan,2420410,1880322,0.776860945
Sapana Ele Kale,433257,335785,0.775024985
Shri Gurukrupa ,754398,581940,0.771396531
Shri Gurudev Furniture,46380,35720,0.770159552
Satyam Phalatan,212505,162605,0.765181996
Nikhil Ele Jaysingpur,361916,276925,0.76516374
Maharashtra Vaduj,473335,358271,0.756907898
Laxmi Ele Peth,351106,265075,0.754971433
Gopi Electronics,41800,31434,0.752009569
Ravi Ele ,1191386,884171,0.74213647
Walwekar Ele Islampur,2976547,2191333,0.736199697
Welcome,4129915,3030234,0.733727934
Mangesh Sales & Ser Lonand,294055,215050,0.731325772
Sneh Ele,128044,93544,0.73056137
Swayambhu Bandhu,786571,572620,0.727995311
Deep Enterprises,748290,543545,0.726382819
Globe Enterprises Tali,1195397,857376,0.717231179
Shah Ele Palus,406449,290745,0.715329599
Firoj Elect Borgaon,469910,335045,0.712998234
Doshi Ele,300906,211665,0.703425655
M/S Portal Direct Retail,161070,113143,0.702446141
Sadguru Sales ,63580,44510,0.700062913
SES corner Kudal,7198137,5016158,0.696868926
Sound of Music Chiplun,3035483,2096525,0.690672621
Tushar Panasonic ,2292095,1582074,0.690230553
Gurav Electronics Rashiwade,499475.03,343003,0.686727022
New Prathmesh ele islampur,2528392,1702607,0.673395186
Star Home Appliances,2228200,1443823,0.647977291
Bachal Ele Koregaon,282636,180455,0.638471391
J D Refri,318920,201490,0.631788536
Saroj Ent Bandha,401689,252348,0.628217352
Gokul Electronics Rui,241565,149900,0.620536916
Khanjire Ele,36000,22302,0.6195
Sai Kumtha,165085,101226,0.613175031
Siddhkala Ele,264823,162175,0.612390162
Blue Line Ref Malvan,1004575,609080,0.606306149
Mahesh Ele,33000,20000,0.606060606
Suhas Ele,93150,56270,0.604079442
J D Enterprises Koregaon,329421,195655,0.593936027
Mangesh Guhagar,824058,485020,0.588575076
Jaywal Sales ,4118605,2408721,0.584839041
Samarth Ele Lota,83800,48054,0.573436754
Pawar Ele Waduj,56995,32590,0.571804544
Star TV Center Kadegaon,321428,178890,0.556547656
Rane Ele Fonda,341545,188099,0.550729772
Tushar Ele Akluj,950561,522754,0.549942613
Abhijeet Ele. S.Wadi,36500,20000,0.547945205
New Sunny Ele ,1535617,840471,0.547318114
Pushpa Ele,89786,49065,0.546466041
Pitake Ele Sangali,129885,69635,0.536128113
Music House Gadhinglaj ,111705,59640,0.533906271
Shreeram Agencies,347265,185101,0.533025211
Patel Ele,422116,224604,0.532090705
Tulasi Ele ,5035513,2658554,0.527960905
Sham Sales,682180,357455,0.52398927
Mahalaxmi Steel Bandha,499169,258452,0.517764525
Avinash Electonics,92890,46760,0.503391108
Nitin Ele Swadi,109085,53829,0.493459229
Satyam Ele Karad,329825,162145,0.491609187
Ashwini Electronics Wathar,365026,163650,0.448324229
Jay Ram,3299891,1475867,0.447247197
Ganesh Electonics,95674,40336,0.421598344
Raja Kaka,1015314,422236,0.415867407
Janta Traders Kudal,322043,128358,0.398574103
Shiv Rant Ele Koregaon,53170,20670,0.388753056
Surabhi Ele Ichalkaranji,769584,292435,0.379991008
Babar Electronics Mayani,296293,105800,0.357078973
Shri Samarth Shiroda,160865,56579,0.351717278
Padmavati Auto,67845,23345,0.344093154
Premedra Ele,104366,31446,0.301305023
Arihnat Sales,552975,164915,0.298232289
Sai Elec,473785,140294,0.296113216
India Marketing Kagal,44040,12279,0.278814714
Atharv Electronics Pusewadi,220351,60000,0.272292842
Sadguru Watch,364012,97867,0.268856521
Yash Ele,40132,10000,0.249177714
Devesh Ele Kudal,102120,20500,0.200744222
Jay Nath Associates Kagal Shop,10000000,2000000,0.2
Parshwnath Ele Jay,22405,4356,0.194420888
Manasing ,62890,10000,0.159007791
Jay Nath Associates Kolhapur Shop,20000000,3000000,0.15
Shivam Agencies Banda,305352,45670,0.149565092
Jotiba Sales,411432,57176,0.138968286
New Star Ele Petha,30800,4160,0.135064935
Shri Ele Ichalkaranji,46769,1007,0.021531356
New Sangam Ele,386226,0,0
Nagesh Ele Nipani,307964,0,0
Swarganga ,581141,0,0
Sujal Ele,209774,0,0
Siddhesh Ele,214810,0,0
Samarth Kankavli,274344,0,0
Sai Ele Jaysingpur,109756,0,0
Maharashtra Ele,146650,0,0
Desai Electonics,202277,0,0
Shri Krupa Ele,65696,0,0
Shiv Leela Ele,44061,0,0
Galaxy Ele Achara,85937,0,0
Echo Electronics,128581,0,0
Alka Traders Kankavli,804904,0,0
Sai Ent Sangli,31280,0,0
Choose Ele,30001,0,0
Adity Ele Sawarde,20500,0,0
Surabhi Ele Kurundwad,13319,0,0
Sahara Radio House,38327,0,0
Ideal Services Sawantwadi,7085,0,0
Indira Ele Kudal,6556,0,0
Gogate & Sons,5373,0,0
Pratik Ele ,10000,0,0
Anant Ele Snagli,1166,0,0
Aditi Hotel ,3100,0,0
AirCon Engg ,7440,0,0
Ankur Ele Pune,10553,0,0
Atharv Electronics Sawantwadi,28903,0,0
Balaji Electronics Larad,38000,0,0
CoolWell Ref,47600,0,0
Laxmi Narayan Shopee,24915,0,0
Manoj Ele,17540,0,0
Om Namshivay,8781,0,0
Omkar Ele ,23046,0,0
Shah Ele Tasgaon,52490,0,0
Trimurti Ele ,21479,0,0
Vitthal Krupa Ele Devgad,118570,0,0
